Format,LMUTelemetry v2
Version,1
Player,Dean Davids
TrackName,Bahrain International Circuit
CarName,Toyota GR010
SessionUTC,2025-11-14T07:20:40Z
LapTime [s],112.993
TrackLen [m],5386.80
GameVersion,0.9
Event,Practice

LapDistance [m],LapTime [s],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Y [m],Z [m]
0.000,0.000,0,0.00,0.00,0.00,0.00,0.00,1,-269.27,7.30,-218.97
10.125,0.125,0,245.20,7240.00,98.50,0.00,2.50,6,-268.11,7.30,-218.52
25.782,0.280,0,250.10,7300.00,100.00,0.00,-1.75,6,-265.42,7.30,-217.01
5386.800,112.993,2,0.00,0.00,0.00,20.00,0.00,1,-269.27,7.30,-218.97
