Format,LMUTelemetry v3
Version,1
Player,BREUX KACEM
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,D'station Racing #777:LM
SessionUTC,2025-11-21T10:52:16Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
16.098,0,191.86,6256.15,100.00,0.00,19.57,4,-240.12,750.54
16.098,0,193.12,6317.54,100.00,0.00,19.57,4,-245.51,758.51
26.809,0,193.56,6307.99,100.00,0.00,19.57,4,-246.11,759.40
26.809,0,193.56,6328.46,100.00,0.00,19.57,4,-246.71,760.30
26.809,0,193.65,6329.82,100.00,0.00,19.57,4,-247.31,761.19
26.809,0,194.06,6333.91,100.00,0.00,19.57,4,-247.91,762.08
26.809,0,194.15,6338.00,100.00,0.00,19.57,4,-248.51,762.97
26.809,0,194.30,6344.83,100.00,0.00,19.57,4,-249.11,763.87
26.809,0,194.64,6350.28,100.00,0.00,19.57,4,-249.72,764.77
26.809,0,194.64,6361.20,100.00,0.00,19.57,4,-250.32,765.66
26.809,0,194.89,6361.20,100.00,0.00,19.57,4,-250.92,766.56
26.809,0,195.05,6370.75,100.00,0.00,19.57,4,-251.53,767.46
37.617,0,195.30,6374.84,100.00,0.00,0.00,4,-252.13,768.36
37.617,0,195.30,6378.93,100.00,0.00,0.00,4,-252.74,769.26
37.617,0,195.45,6384.39,100.00,0.00,0.00,4,-253.34,770.16
37.617,0,195.80,6392.57,100.00,0.00,0.00,4,-253.95,771.06
37.617,0,195.95,6396.66,100.00,0.00,0.00,4,-254.56,771.97
37.617,0,196.20,6408.94,100.00,0.00,0.00,4,-255.16,772.87
37.617,0,196.20,6408.94,100.00,0.00,0.00,4,-255.16,772.87
37.617,0,196.39,6408.94,100.00,0.00,0.00,4,-255.77,773.77
37.617,0,196.45,6418.49,100.00,0.00,0.00,4,-256.38,774.68
37.617,0,196.70,6422.58,100.00,0.00,0.00,4,-256.99,775.59
37.617,0,196.86,6426.68,100.00,0.00,0.00,4,-257.60,776.50
48.509,0,196.95,6430.77,100.00,0.00,0.00,4,-258.21,777.40
48.509,0,197.14,6440.32,100.00,0.00,0.00,4,-258.82,778.31
