Format,LMUTelemetry v3
Version,1
Player,Daniel Karasi
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,TF Sport #72:LM
SessionUTC,2025-11-21T10:50:59Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
18.540,0,194.45,6342.10,100.00,0.00,19.57,4,-241.72,753.69
18.540,0,194.74,6346.19,100.00,0.00,19.57,4,-242.32,754.59
18.540,0,194.86,6351.65,100.00,0.00,19.57,4,-242.93,755.49
18.540,0,195.14,6355.74,100.00,0.00,19.57,4,-243.53,756.38
18.540,0,195.02,6365.29,100.00,0.00,19.57,4,-244.14,757.28
18.540,0,195.64,6372.11,100.00,0.00,0.00,4,-244.74,758.18
18.540,0,195.55,6381.66,100.00,0.00,0.00,4,-245.35,759.08
18.540,0,196.09,6384.39,100.00,0.00,0.00,4,-245.96,759.99
18.540,0,196.03,6392.57,100.00,0.00,0.00,4,-246.57,760.89
29.404,0,196.50,6395.30,100.00,0.00,0.00,4,-247.18,761.79
29.404,0,196.37,6398.03,100.00,0.00,19.57,4,-247.78,762.70
29.404,0,196.90,6400.76,100.00,0.00,19.57,4,-248.39,763.61
29.404,0,196.90,6400.76,100.00,0.00,19.57,4,-248.39,763.61
29.404,0,196.98,6419.86,100.00,0.00,19.57,4,-249.61,765.42
29.404,0,196.98,6428.04,100.00,0.00,39.14,4,-250.22,766.33
29.404,0,196.98,6428.04,100.00,0.00,39.14,4,-250.22,766.33
29.404,0,197.58,6432.13,100.00,0.00,39.14,4,-250.83,767.24
29.404,0,197.30,6440.32,100.00,0.00,39.14,4,-251.44,768.15
29.404,0,197.86,6443.05,100.00,0.00,39.14,4,-252.05,769.06
29.404,0,197.73,6447.14,100.00,0.00,39.14,4,-252.67,769.97
40.362,0,198.26,6449.87,100.00,0.00,39.14,4,-253.28,770.89
40.362,0,197.95,6458.05,100.00,0.00,39.14,4,-253.89,771.80
40.362,0,198.63,6467.60,100.00,0.00,39.14,4,-254.50,772.72
40.362,0,198.54,6475.79,100.00,0.00,39.14,4,-255.11,773.64
40.362,0,199.14,6479.88,100.00,0.00,39.14,4,-255.73,774.55
40.362,0,198.83,6485.34,100.00,0.00,39.14,4,-256.34,775.47
40.362,0,199.26,6490.79,100.00,0.00,39.14,4,-256.95,776.39
40.362,0,199.17,6492.16,95.24,0.00,39.14,4,-257.56,777.32
40.362,0,199.38,6490.79,88.89,0.00,39.14,4,-258.17,778.24
40.362,0,199.01,6488.07,82.54,0.00,39.14,4,-258.79,779.16
51.397,0,199.17,6482.61,74.60,0.00,39.14,4,-259.40,780.08
51.397,0,198.73,6474.42,68.25,0.00,39.14,4,-260.01,781.00
51.397,0,199.05,6468.97,60.32,0.00,39.14,4,-260.62,781.92
51.397,0,198.80,6459.42,53.97,0.00,39.14,4,-261.23,782.85
51.397,0,198.71,6452.60,47.62,0.00,39.14,4,-261.84,783.77
51.397,0,198.71,6452.60,47.62,0.00,39.14,4,-261.84,783.77
51.397,0,198.65,6440.32,41.27,0.00,39.14,4,-262.44,784.69
51.397,0,198.31,6428.04,34.92,0.00,39.14,4,-263.05,785.60
51.397,0,198.15,6415.76,30.16,0.00,39.14,4,-263.66,786.52
51.397,0,197.68,6406.21,25.40,0.00,19.57,4,-264.26,787.44
51.397,0,197.83,6396.66,20.63,0.00,19.57,4,-264.86,788.35
62.390,0,197.17,6388.48,17.46,0.00,0.00,4,-265.46,789.26
62.390,0,197.51,6378.93,14.29,0.00,0.00,4,-266.07,790.17
62.390,0,196.80,6374.84,11.11,0.00,0.00,4,-266.67,791.09
62.390,0,196.95,6365.29,7.94,0.00,0.00,4,-267.27,791.99
62.390,0,196.24,6359.83,6.35,0.00,0.00,4,-267.87,792.90
62.390,0,196.45,6353.01,4.76,0.00,19.57,4,-268.46,793.81
62.390,0,195.83,6348.92,3.17,0.00,19.57,4,-269.06,794.71
62.390,0,196.08,6347.55,1.59,0.00,19.57,4,-269.66,795.62
62.390,0,195.58,6347.55,0.00,0.00,19.57,4,-270.25,796.52
62.390,0,195.99,6343.46,0.00,0.00,0.00,4,-270.85,797.42
73.249,0,195.28,6338.00,0.00,0.00,19.57,4,-271.44,798.33
73.249,0,195.53,6329.82,0.00,0.00,19.57,4,-272.04,799.23
73.249,0,195.06,6321.63,0.00,0.00,19.57,4,-272.63,800.13
73.249,0,195.22,6310.72,0.00,0.00,19.57,4,-273.22,801.03
73.249,0,194.81,6302.54,0.00,0.00,19.57,4,-273.82,801.93
73.249,0,194.96,6292.99,0.00,0.00,19.57,4,-274.41,802.83
73.249,0,194.40,6288.89,0.00,0.00,19.57,4,-275.00,803.73
73.249,0,194.18,6282.07,0.00,1.59,19.57,4,-275.59,804.63
73.249,0,193.46,6276.62,0.00,4.76,19.57,4,-276.18,805.53
73.249,0,193.40,6269.80,0.00,4.76,19.57,4,-276.77,806.42
73.249,0,193.40,6269.80,0.00,4.76,19.57,4,-276.77,806.42
84.012,0,192.59,6262.97,0.00,6.35,19.57,4,-277.36,807.31
84.012,0,192.47,6253.43,0.00,9.52,19.57,4,-277.94,808.20
84.012,0,191.72,6245.24,0.00,11.11,19.57,4,-278.52,809.09
84.012,0,191.60,6231.60,0.00,12.70,19.57,4,-279.10,809.98
84.012,0,190.95,6216.59,0.00,14.29,19.57,4,-279.68,810.86
84.012,0,190.73,6197.49,0.00,15.87,19.57,4,-280.25,811.75
84.012,0,189.97,6177.03,0.00,17.46,19.57,4,-280.83,812.63
84.012,0,189.69,6157.93,0.00,19.05,19.57,4,-281.40,813.50
84.012,0,188.88,6140.20,0.00,20.63,19.57,4,-281.97,814.38
84.012,0,188.47,6125.19,0.00,22.22,19.57,4,-282.54,815.25
94.534,0,187.51,6112.91,0.00,23.81,19.57,4,-283.10,816.12
94.534,0,187.04,6100.64,0.00,25.40,19.57,4,-283.67,816.99
94.534,0,186.07,6086.99,0.00,26.98,19.57,4,-284.23,817.85
94.534,0,185.85,6069.26,0.00,28.57,19.57,4,-284.79,818.71
94.534,0,184.89,6051.53,0.00,28.57,19.57,4,-285.34,819.57
94.534,0,184.64,6035.16,0.00,31.75,19.57,4,-285.90,820.42
94.534,0,183.68,6014.69,0.00,31.75,0.00,4,-286.45,821.27
94.534,0,183.27,5995.59,0.00,33.33,0.00,4,-287.00,822.12
94.534,0,182.46,5971.04,0.00,33.33,0.00,4,-287.55,822.96
94.534,0,182.00,5945.12,0.00,36.51,19.57,4,-288.09,823.80
104.698,0,181.03,5921.93,0.00,36.51,19.57,4,-288.63,824.64
104.698,0,180.53,5897.37,0.00,38.10,19.57,4,-289.18,825.48
104.698,0,179.50,5872.82,0.00,39.68,19.57,4,-289.71,826.31
104.698,0,179.06,5848.26,0.00,39.68,19.57,4,-290.25,827.14
104.698,0,179.06,5848.26,0.00,39.68,19.57,4,-290.25,827.14
104.698,0,177.81,5827.80,0.00,41.27,19.57,4,-290.78,827.96
104.698,0,177.37,5810.07,0.00,42.86,0.00,4,-291.31,828.78
104.698,0,176.28,5792.33,0.00,42.86,0.00,4,-291.84,829.60
104.698,0,176.00,5769.14,0.00,44.44,0.00,4,-292.37,830.41
104.698,0,174.76,5743.22,0.00,44.44,0.00,4,-292.89,831.22
104.698,0,174.41,5714.57,0.00,46.03,0.00,4,-293.41,832.02
114.448,0,173.29,5687.29,0.00,46.03,0.00,4,-293.93,832.83
114.448,0,172.63,5658.64,0.00,47.62,0.00,4,-294.44,833.62
114.448,0,171.67,5634.08,0.00,47.62,0.00,4,-294.95,834.42
114.448,0,170.85,5829.16,38.10,49.21,0.00,0,-295.46,835.21
114.448,0,170.29,6238.42,30.16,49.21,0.00,0,-295.97,836.00
114.448,0,169.17,6463.51,23.81,49.21,0.00,0,-296.47,836.78
114.448,0,168.77,6557.64,19.05,49.21,0.00,0,-296.97,837.56
114.448,0,167.28,6574.01,17.46,50.79,0.00,0,-297.47,838.34
114.448,0,167.15,6554.91,15.87,50.79,0.00,0,-297.97,839.11
114.448,0,166.29,6490.79,0.00,50.79,19.57,3,-298.46,839.88
123.742,0,165.33,6507.16,0.00,50.79,0.00,3,-298.95,840.64
123.742,0,164.70,6460.78,0.00,50.79,0.00,3,-299.44,841.40
123.742,0,164.70,6460.78,0.00,50.79,0.00,3,-299.44,841.40
123.742,0,164.51,6384.39,0.00,50.79,0.00,3,-299.93,842.16
123.742,0,163.88,6287.53,0.00,50.79,0.00,3,-300.42,842.92
123.742,0,162.19,6207.04,0.00,50.79,-19.57,3,-300.90,843.67
123.742,0,161.90,6163.39,0.00,50.79,-39.14,3,-301.39,844.42
123.742,0,159.86,6122.46,0.00,50.79,-19.57,3,-301.86,845.16
123.742,0,158.86,6190.67,0.00,50.79,0.00,3,-302.34,845.90
123.742,0,158.47,6237.06,0.00,50.79,19.57,3,-302.81,846.63
123.742,0,157.72,6216.59,0.00,52.38,19.57,3,-303.28,847.36
132.582,0,157.29,6179.76,0.00,52.38,19.57,3,-303.75,848.08
132.582,0,155.95,6137.47,0.00,52.38,0.00,3,-304.21,848.80
