Format,LMUTelemetry v3
Version,1
Player,Daniel Skraba
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,Corvette Racing #33:LM
SessionUTC,2025-11-21T10:49:17Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
18.170,0,182.88,6979.17,100.00,0.00,-58.71,3,-244.03,751.71
18.170,0,182.73,6995.54,100.00,0.00,-58.71,3,-244.59,752.57
18.170,0,183.26,6996.91,100.00,0.00,-97.85,3,-245.15,753.42
18.170,0,183.13,7009.18,100.00,0.00,-97.85,3,-245.71,754.27
18.170,0,183.38,7016.00,100.00,0.00,-97.85,3,-246.27,755.12
18.170,0,183.57,7025.55,100.00,0.00,-97.85,3,-246.83,755.98
18.170,0,183.91,7035.10,100.00,0.00,-58.71,3,-247.39,756.83
18.170,0,184.00,7041.92,100.00,0.00,-39.14,3,-247.95,757.68
18.170,0,184.38,7051.47,100.00,0.00,0.00,3,-248.52,758.54
28.409,0,184.41,7051.47,100.00,0.00,19.57,3,-249.08,759.39
28.409,0,184.76,7065.12,100.00,0.00,58.71,3,-249.65,760.25
28.409,0,184.70,7067.84,100.00,0.00,58.71,3,-250.21,761.11
28.409,0,185.14,7080.12,100.00,0.00,97.85,3,-250.78,761.97
28.409,0,185.23,7082.85,100.00,0.00,97.85,3,-251.34,762.83
28.409,0,185.51,7092.40,100.00,0.00,97.85,3,-251.91,763.69
28.409,0,185.51,7099.22,100.00,0.00,78.28,3,-252.47,764.55
28.409,0,185.89,7110.13,100.00,0.00,58.71,3,-253.04,765.41
28.409,0,186.10,7114.23,100.00,0.00,39.14,3,-253.60,766.28
28.409,0,186.17,7125.14,100.00,0.00,19.57,3,-254.17,767.15
38.750,0,186.54,7129.23,100.00,0.00,0.00,3,-254.73,768.02
38.750,0,186.54,7129.23,100.00,0.00,0.00,3,-254.73,768.02
38.750,0,186.67,7137.42,100.00,0.00,-19.57,3,-255.30,768.89
38.750,0,186.79,7144.24,100.00,0.00,-19.57,3,-255.86,769.76
38.750,0,186.92,7155.15,100.00,0.00,-19.57,3,-256.43,770.63
38.750,0,187.14,7161.97,100.00,0.00,-39.14,3,-256.99,771.50
38.750,0,187.32,7168.79,100.00,0.00,-39.14,3,-257.56,772.37
38.750,0,187.70,7175.61,100.00,0.00,-39.14,3,-258.13,773.25
38.750,0,187.55,7179.71,100.00,0.00,-39.14,3,-258.69,774.12
38.750,0,188.01,7190.62,100.00,0.00,-19.57,3,-259.26,775.00
38.750,0,188.20,7196.08,100.00,0.00,-19.57,3,-259.83,775.87
49.139,0,188.32,7204.26,100.00,0.00,-19.57,3,-260.40,776.75
49.139,0,188.60,7209.72,100.00,0.00,0.00,3,-260.97,777.63
49.139,0,188.76,7220.63,100.00,0.00,19.57,3,-261.54,778.51
49.139,0,188.91,7224.73,100.00,0.00,19.57,3,-262.12,779.39
49.139,0,189.01,7235.64,100.00,0.00,39.14,3,-262.69,780.27
49.139,0,189.26,7235.64,100.00,0.00,39.14,3,-263.26,781.15
49.139,0,189.36,7249.28,100.00,0.00,39.14,3,-263.84,782.03
49.139,0,189.68,7249.28,100.00,0.00,39.14,3,-264.41,782.92
49.139,0,189.65,7262.92,100.00,0.00,39.14,3,-264.99,783.80
49.139,0,189.99,7265.65,100.00,0.00,19.57,3,-265.56,784.69
59.635,0,190.24,7272.47,100.00,0.00,19.57,3,-266.14,785.57
59.635,0,190.27,7277.93,100.00,0.00,19.57,3,-266.71,786.46
59.635,0,187.89,7227.45,14.29,0.00,19.57,0,-267.28,787.34
59.635,0,187.77,7077.39,0.00,0.00,19.57,0,-267.86,788.22
59.635,0,187.64,6927.33,0.00,0.00,19.57,0,-268.42,789.10
59.635,0,187.61,6778.64,0.00,0.00,19.57,0,-268.99,789.97
59.635,0,187.58,6595.84,11.11,0.00,19.57,4,-269.55,790.85
59.635,0,187.58,6595.84,11.11,0.00,19.57,4,-269.55,790.85
59.635,0,188.42,6114.28,14.29,0.00,19.57,4,-270.12,791.72
59.635,0,190.05,6073.35,100.00,0.00,19.57,4,-270.68,792.59
59.635,0,190.32,6081.54,100.00,0.00,19.57,4,-271.25,793.47
70.103,0,190.39,6088.36,100.00,0.00,19.57,4,-271.82,794.35
70.103,0,190.67,6093.82,100.00,0.00,19.57,4,-272.40,795.24
70.103,0,190.80,6099.27,100.00,0.00,19.57,4,-272.97,796.13
70.103,0,190.98,6104.73,100.00,0.00,19.57,4,-273.54,797.02
70.103,0,190.96,6110.19,100.00,0.00,19.57,4,-274.12,797.91
70.103,0,191.39,6118.37,100.00,0.00,0.00,4,-274.70,798.80
70.103,0,191.46,6119.74,100.00,0.00,0.00,4,-275.27,799.69
70.103,0,191.80,6127.92,100.00,0.00,-19.57,4,-275.85,800.59
70.103,0,191.83,6132.01,100.00,0.00,-19.57,4,-276.43,801.49
70.103,0,192.17,6137.47,100.00,0.00,-39.14,4,-277.01,802.38
80.740,0,192.45,6142.93,100.00,0.00,-58.71,4,-277.59,803.28
80.740,0,192.26,6151.11,100.00,0.00,-58.71,4,-278.17,804.18
80.740,0,192.51,6155.20,100.00,0.00,-78.28,4,-278.75,805.08
80.740,0,192.79,6163.39,100.00,0.00,-78.28,4,-279.34,805.98
80.740,0,193.04,6164.75,100.00,0.00,-58.71,4,-279.92,806.88
80.740,0,193.07,6177.03,100.00,0.00,-58.71,4,-280.50,807.78
80.740,0,193.32,6177.03,100.00,0.00,-39.14,4,-281.09,808.68
80.740,0,193.47,6187.94,100.00,0.00,-19.57,4,-281.68,809.58
80.740,0,193.66,6189.31,100.00,0.00,19.57,4,-282.26,810.48
80.740,0,193.88,6198.86,100.00,0.00,39.14,4,-282.85,811.38
91.486,0,194.16,6200.22,100.00,0.00,58.71,4,-283.44,812.29
91.486,0,194.26,6208.41,100.00,0.00,78.28,4,-284.03,813.19
91.486,0,194.48,6211.14,100.00,0.00,97.85,4,-284.62,814.10
91.486,0,194.57,6217.96,100.00,0.00,97.85,4,-285.21,815.01
91.486,0,194.57,6217.96,100.00,0.00,97.85,4,-285.21,815.01
91.486,0,194.85,6222.05,100.00,0.00,97.85,4,-285.80,815.92
91.486,0,194.89,6231.60,100.00,0.00,97.85,4,-286.38,816.83
91.486,0,195.01,6234.33,100.00,0.00,78.28,4,-286.97,817.74
91.486,0,195.20,6242.51,100.00,0.00,58.71,4,-287.55,818.65
91.486,0,195.39,6246.60,100.00,0.00,58.71,4,-288.14,819.57
91.486,0,195.52,6256.15,100.00,0.00,39.14,4,-288.73,820.48
102.333,0,195.87,6254.79,100.00,0.00,39.14,4,-289.31,821.40
102.333,0,195.93,6267.07,100.00,0.00,19.57,4,-289.89,822.32
102.333,0,196.22,6264.34,100.00,0.00,19.57,4,-290.48,823.24
102.333,0,196.31,6276.62,100.00,0.00,19.57,4,-291.06,824.16
102.333,0,196.41,6277.98,100.00,0.00,19.57,4,-291.65,825.08
102.333,0,196.56,6286.17,100.00,0.00,19.57,4,-292.23,826.00
102.333,0,196.81,6288.89,100.00,0.00,19.57,4,-292.82,826.93
102.333,0,196.91,6298.44,100.00,0.00,19.57,4,-293.40,827.85
102.333,0,197.06,6298.44,100.00,0.00,19.57,4,-293.99,828.77
102.333,0,197.31,6307.99,100.00,0.00,19.57,4,-294.58,829.70
113.270,0,197.41,6312.09,100.00,0.00,19.57,4,-295.16,830.63
113.270,0,197.66,6320.27,100.00,0.00,19.57,4,-295.75,831.55
113.270,0,197.76,6323.00,100.00,0.00,19.57,4,-296.34,832.48
113.270,0,197.85,6329.82,100.00,0.00,19.57,4,-296.93,833.41
113.270,0,198.10,6333.91,100.00,0.00,39.14,4,-297.52,834.34
113.270,0,198.20,6342.10,100.00,0.00,39.14,4,-298.11,835.27
113.270,0,198.45,6342.10,100.00,0.00,58.71,4,-298.70,836.20
113.270,0,198.57,6353.01,100.00,0.00,58.71,4,-299.29,837.13
113.270,0,198.88,6353.01,100.00,0.00,58.71,4,-299.88,838.07
113.270,0,198.92,6361.20,100.00,0.00,58.71,4,-300.47,839.00
124.281,0,198.86,6365.29,100.00,0.00,58.71,4,-301.06,839.94
124.281,0,199.15,6374.84,100.00,0.00,39.14,4,-301.65,840.87
124.281,0,199.25,6373.47,100.00,0.00,39.14,4,-302.24,841.81
124.281,0,199.70,6384.39,100.00,0.00,19.57,4,-302.83,842.75
124.281,0,199.82,6380.29,100.00,0.00,0.00,4,-303.42,843.69
124.281,0,199.91,6391.21,100.00,0.00,0.00,4,-304.01,844.63
124.281,0,200.00,6395.30,100.00,0.00,0.00,4,-304.60,845.57
124.281,0,200.00,6395.30,100.00,0.00,0.00,4,-304.60,845.57
124.281,0,200.14,6398.03,100.00,0.00,0.00,4,-305.20,846.51
124.281,0,200.39,6398.03,100.00,0.00,-19.57,4,-305.79,847.45
124.281,0,200.42,6404.85,100.00,0.00,-19.57,4,-306.38,848.39
135.369,0,200.46,6415.76,100.00,0.00,-39.14,4,-306.98,849.34
135.369,0,200.84,6422.58,100.00,0.00,-39.14,4,-307.57,850.28
135.369,0,200.87,6419.86,98.41,0.00,-58.71,4,-308.16,851.23
135.369,0,201.09,6430.77,96.83,0.00,-97.85,4,-308.76,852.17
135.369,0,201.05,6429.41,95.24,0.00,-97.85,4,-309.35,853.12
135.369,0,201.27,6438.95,93.65,0.00,-97.85,4,-309.95,854.06
135.369,0,201.33,6436.23,90.48,0.00,-97.85,4,-310.55,855.01
135.369,0,201.24,6437.59,87.30,0.00,-78.28,4,-311.14,855.95
135.369,0,201.34,6432.13,82.54,0.00,-58.71,4,-311.74,856.90
135.369,0,201.47,6434.86,79.37,0.00,-39.14,4,-312.34,857.84
146.530,0,201.25,6425.31,74.60,1.59,-19.57,4,-312.94,858.79
146.530,0,200.06,6408.94,68.25,9.52,-19.57,4,-313.54,859.73
146.530,0,198.63,6377.57,60.32,19.05,19.57,4,-314.14,860.67
146.530,0,197.22,6347.55,50.79,28.57,19.57,4,-314.73,861.60
146.530,0,195.24,6317.54,41.27,38.10,39.14,4,-315.31,862.52
146.530,0,193.09,6279.35,31.75,49.21,39.14,4,-315.90,863.43
146.530,0,190.85,6228.87,22.22,57.14,39.14,4,-316.47,864.33
146.530,0,188.54,6174.30,15.87,63.49,39.14,4,-317.03,865.21
146.530,0,186.49,6129.28,9.52,69.84,39.14,4,-317.58,866.08
146.530,0,184.38,6081.54,4.76,73.02,39.14,4,-318.13,866.94
157.207,0,181.76,6025.61,1.59,82.54,39.14,4,-318.66,867.78
157.207,0,179.90,5973.77,0.00,87.30,19.57,4,-319.19,868.61
157.207,0,179.90,5973.77,0.00,87.30,19.57,4,-319.19,868.61
157.207,0,178.42,5935.57,0.00,88.89,0.00,4,-319.71,869.43
157.207,0,176.65,5893.28,0.00,88.89,-19.57,4,-320.22,870.24
157.207,0,175.35,5852.35,0.00,88.89,-39.14,4,-320.72,871.04
157.207,0,173.78,5775.96,0.00,90.48,-58.71,4,-321.22,871.83
157.207,0,171.44,5702.29,0.00,92.06,-97.85,4,-321.71,872.61
157.207,0,169.78,5643.63,0.00,92.06,-97.85,4,-322.20,873.38
157.207,0,168.78,5598.62,0.00,90.48,-100.00,4,-322.69,874.14
157.207,0,167.84,5568.60,0.00,85.71,-100.00,4,-323.17,874.90
166.540,0,166.65,5546.78,0.00,80.95,-100.00,4,-323.65,875.65
