Format,LMUTelemetry v3
Version,1
Player,Damon Blackburn
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,Proton Competition #911:LM
SessionUTC,2025-11-21T10:50:24Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
17.539,0,191.21,8052.79,100.00,0.00,19.57,4,-241.89,752.38
17.539,0,191.84,8060.97,100.00,0.00,19.57,4,-242.47,753.27
17.539,0,191.71,8070.52,100.00,0.00,19.57,4,-243.05,754.16
17.539,0,192.03,8075.98,100.00,0.00,19.57,4,-243.64,755.06
17.539,0,192.06,8088.25,100.00,0.00,19.57,4,-244.22,755.95
17.539,0,192.34,8093.71,100.00,0.00,19.57,4,-244.80,756.85
17.539,0,192.46,8108.72,100.00,0.00,19.57,4,-245.39,757.74
17.539,0,192.74,8111.45,100.00,0.00,19.57,4,-245.98,758.64
17.539,0,192.81,8123.72,100.00,0.00,19.57,4,-246.56,759.53
28.236,0,193.19,8126.45,100.00,0.00,19.57,4,-247.15,760.43
28.236,0,193.16,8140.09,100.00,0.00,0.00,4,-247.73,761.33
28.236,0,193.44,8137.37,100.00,0.00,0.00,4,-248.32,762.23
28.236,0,193.47,8157.83,100.00,0.00,0.00,4,-248.91,763.13
28.236,0,193.85,8156.46,100.00,0.00,0.00,4,-249.50,764.03
28.236,0,193.91,8174.20,100.00,0.00,0.00,4,-250.08,764.93
28.236,0,194.41,8172.83,100.00,0.00,0.00,4,-250.67,765.84
28.236,0,194.38,8182.38,100.00,0.00,0.00,4,-251.26,766.74
28.236,0,194.72,8189.20,100.00,0.00,19.57,4,-251.85,767.65
28.236,0,194.66,8197.39,100.00,0.00,19.57,4,-252.44,768.55
39.034,0,195.06,8202.85,100.00,0.00,19.57,4,-253.03,769.46
39.034,0,194.96,8212.40,100.00,0.00,19.57,4,-253.63,770.37
39.034,0,195.40,8216.49,100.00,0.00,19.57,4,-254.22,771.28
39.034,0,195.81,8235.59,100.00,0.00,0.00,4,-254.81,772.19
39.034,0,195.96,8235.59,100.00,0.00,0.00,4,-255.40,773.10
39.034,0,195.96,8235.59,100.00,0.00,0.00,4,-255.40,773.10
39.034,0,196.25,8246.50,100.00,0.00,0.00,4,-256.59,774.93
39.034,0,196.25,8246.50,100.00,0.00,0.00,4,-256.59,774.93
39.034,0,195.81,8261.51,100.00,0.00,0.00,4,-257.19,775.84
39.034,0,196.62,8261.51,100.00,0.00,0.00,4,-257.78,776.76
39.034,0,196.31,8280.60,100.00,0.00,0.00,4,-258.38,777.67
49.908,0,196.81,8276.51,100.00,0.00,0.00,4,-258.97,778.59
49.908,0,196.40,8295.61,100.00,0.00,0.00,4,-259.57,779.50
49.908,0,196.81,8307.89,100.00,0.00,0.00,4,-260.76,781.34
49.908,0,196.81,8307.89,100.00,0.00,0.00,4,-260.76,781.34
49.908,0,197.56,8309.25,100.00,0.00,0.00,4,-261.36,782.25
49.908,0,197.31,8322.89,100.00,0.00,0.00,4,-261.95,783.17
49.908,0,197.91,8322.89,100.00,0.00,0.00,4,-262.55,784.09
49.908,0,197.69,8339.26,100.00,0.00,19.57,4,-263.15,785.02
49.908,0,198.38,8335.17,100.00,0.00,19.57,4,-263.75,785.94
49.908,0,198.01,8352.91,100.00,0.00,19.57,4,-264.35,786.86
60.866,0,198.66,8354.27,100.00,0.00,39.14,4,-264.95,787.79
60.866,0,198.32,8367.91,100.00,0.00,39.14,4,-265.55,788.71
60.866,0,199.13,8367.91,100.00,0.00,39.14,4,-266.15,789.64
60.866,0,198.50,8381.55,100.00,0.00,39.14,4,-266.75,790.56
60.866,0,198.81,8393.83,100.00,0.00,19.57,4,-267.35,791.49
60.866,0,198.90,8393.83,100.00,0.00,19.57,4,-267.96,792.42
60.866,0,199.81,8397.92,100.00,0.00,0.00,4,-268.56,793.35
60.866,0,199.40,8406.11,100.00,0.00,0.00,4,-269.16,794.27
60.866,0,200.27,8414.29,100.00,0.00,0.00,4,-269.77,795.21
60.866,0,199.86,8421.12,100.00,0.00,0.00,4,-270.37,796.14
71.940,0,200.43,8426.57,100.00,0.00,-19.57,4,-270.98,797.07
71.940,0,200.43,8434.76,100.00,0.00,-19.57,4,-271.59,798.01
71.940,0,200.49,8438.85,100.00,0.00,-19.57,4,-272.19,798.94
71.940,0,200.90,8452.49,100.00,0.00,-19.57,4,-272.80,799.87
71.940,0,200.80,8451.13,100.00,0.00,-19.57,4,-273.41,800.81
71.940,0,201.15,8467.50,100.00,0.00,-19.57,4,-274.02,801.75
71.940,0,200.81,8466.13,100.00,0.00,-19.57,4,-274.63,802.68
71.940,0,201.68,8483.87,100.00,0.00,-19.57,4,-275.24,803.62
71.940,0,201.28,8486.60,100.00,0.00,-19.57,4,-275.85,804.56
71.940,0,201.90,8496.15,100.00,0.00,-19.57,4,-276.46,805.50
83.121,0,201.43,8502.97,100.00,0.00,-19.57,4,-277.08,806.44
83.121,0,202.30,8508.42,100.00,0.00,-19.57,4,-277.69,807.37
