Format,LMUTelemetry v3
Version,1
Player,Jose Manuel Fernandez
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,Dempsey-Proton Racing #77:LM
SessionUTC,2025-11-21T10:50:08Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
17.254,0,192.05,8100.53,100.00,0.00,19.57,4,-239.31,753.68
17.254,0,192.24,8108.72,100.00,0.00,39.14,4,-239.91,754.56
17.254,0,192.05,8118.27,100.00,0.00,39.14,4,-240.51,755.45
17.254,0,192.42,8127.82,100.00,0.00,39.14,4,-241.11,756.33
17.254,0,192.58,8129.18,100.00,0.00,39.14,4,-241.71,757.22
17.254,0,192.71,8142.82,100.00,0.00,39.14,4,-242.31,758.10
17.254,0,192.87,8149.64,100.00,0.00,19.57,4,-242.91,758.99
17.254,0,193.21,8157.83,100.00,0.00,39.14,4,-243.51,759.88
17.254,0,193.43,8161.92,100.00,0.00,39.14,4,-244.11,760.77
27.951,0,193.59,8175.56,100.00,0.00,39.14,4,-244.71,761.66
27.951,0,193.62,8181.02,100.00,0.00,39.14,4,-245.31,762.55
27.951,0,193.93,8191.93,100.00,0.00,39.14,4,-245.91,763.45
27.951,0,194.06,8196.03,100.00,0.00,39.14,4,-246.51,764.34
27.951,0,194.24,8205.57,100.00,0.00,19.57,4,-247.11,765.23
27.951,0,194.46,8212.40,100.00,0.00,19.57,4,-247.72,766.13
27.951,0,194.43,8216.49,100.00,0.00,19.57,4,-248.32,767.03
27.951,0,194.64,8224.67,100.00,0.00,19.57,4,-248.92,767.92
27.951,0,194.92,8232.86,100.00,0.00,19.57,4,-249.52,768.82
27.951,0,195.17,8232.86,100.00,0.00,19.57,4,-250.13,769.72
38.748,0,195.26,8245.14,100.00,0.00,19.57,4,-250.73,770.62
38.748,0,195.54,8250.59,100.00,0.00,19.57,4,-251.34,771.52
38.748,0,195.57,8261.51,100.00,0.00,19.57,4,-251.94,772.43
38.748,0,195.57,8261.51,100.00,0.00,19.57,4,-251.94,772.43
38.748,0,195.79,8266.96,100.00,0.00,0.00,4,-252.55,773.33
38.748,0,196.01,8279.24,100.00,0.00,0.00,4,-253.15,774.23
38.748,0,196.14,8286.06,100.00,0.00,0.00,4,-253.76,775.14
38.748,0,196.33,8294.25,100.00,0.00,19.57,4,-254.37,776.04
38.748,0,196.39,8299.70,100.00,0.00,19.57,4,-254.97,776.95
38.748,0,196.67,8313.35,100.00,0.00,19.57,4,-255.58,777.86
38.748,0,196.95,8313.35,100.00,0.00,19.57,4,-256.19,778.76
49.644,0,197.01,8322.89,100.00,0.00,19.57,4,-256.80,779.67
49.644,0,197.23,8329.72,100.00,0.00,19.57,4,-257.41,780.58
49.644,0,197.36,8339.26,100.00,0.00,19.57,4,-258.02,781.49
49.644,0,197.64,8343.36,100.00,0.00,19.57,4,-258.63,782.40
49.644,0,197.86,8351.54,100.00,0.00,19.57,4,-259.24,783.32
49.644,0,197.89,8358.36,100.00,0.00,19.57,4,-259.85,784.23
49.644,0,198.11,8366.55,100.00,0.00,19.57,4,-260.46,785.15
49.644,0,198.26,8370.64,100.00,0.00,19.57,4,-261.08,786.06
49.644,0,198.26,8370.64,100.00,0.00,19.57,4,-261.08,786.06
49.644,0,198.48,8381.55,100.00,0.00,19.57,4,-261.69,786.98
49.644,0,198.51,8385.65,100.00,0.00,19.57,4,-262.30,787.89
60.639,0,198.89,8395.20,100.00,0.00,19.57,4,-262.91,788.81
60.639,0,198.89,8402.02,100.00,0.00,19.57,4,-263.52,789.73
60.639,0,199.11,8410.20,100.00,0.00,0.00,4,-264.14,790.65
60.639,0,199.29,8415.66,100.00,0.00,-19.57,4,-264.75,791.57
60.639,0,199.51,8425.21,100.00,0.00,-19.57,4,-265.37,792.49
60.639,0,199.60,8427.94,100.00,0.00,-39.14,4,-265.99,793.41
60.639,0,199.63,8441.58,100.00,0.00,-39.14,4,-266.60,794.34
60.639,0,199.82,8445.67,100.00,0.00,-39.14,4,-267.22,795.26
60.639,0,200.10,8451.13,100.00,0.00,-39.14,4,-267.84,796.18
60.639,0,200.38,8456.58,100.00,0.00,-19.57,4,-268.46,797.10
71.727,0,200.51,8463.41,100.00,0.00,-19.57,4,-269.08,798.03
71.727,0,200.60,8471.59,100.00,0.00,-19.57,4,-269.70,798.95
71.727,0,200.73,8478.41,100.00,0.00,-19.57,4,-270.32,799.88
71.727,0,200.77,8489.33,100.00,0.00,-19.57,4,-270.94,800.80
71.727,0,201.11,8493.42,100.00,0.00,-19.57,4,-271.57,801.73
71.727,0,201.14,8502.97,100.00,0.00,-19.57,4,-272.19,802.66
71.727,0,201.52,8507.06,100.00,0.00,-19.57,4,-272.82,803.58
71.727,0,201.67,8507.06,100.00,0.00,-19.57,4,-273.44,804.51
71.727,0,201.83,8522.07,100.00,0.00,-19.57,4,-274.06,805.44
71.727,0,201.83,8522.07,100.00,0.00,-19.57,4,-274.06,805.44
71.727,0,201.98,8522.07,100.00,0.00,-19.57,4,-274.69,806.37
82.904,0,202.04,8535.71,100.00,0.00,-39.14,4,-275.32,807.30
82.904,0,202.26,8541.16,100.00,0.00,-58.71,4,-275.94,808.23
82.904,0,202.48,8547.98,100.00,0.00,-78.28,4,-276.57,809.17
82.904,0,202.61,8554.81,100.00,0.00,-100.00,4,-277.20,810.10
82.904,0,202.82,8556.17,100.00,0.00,-100.00,4,-277.83,811.03
82.904,0,202.79,8569.81,100.00,0.00,-100.00,4,-278.46,811.96
82.904,0,202.95,8571.18,100.00,0.00,-100.00,4,-279.10,812.90
82.904,0,203.18,8583.45,100.00,0.00,-100.00,4,-279.73,813.83
82.904,0,203.18,8586.18,100.00,0.00,-100.00,4,-280.37,814.76
82.904,0,203.56,8598.46,100.00,0.00,-100.00,4,-281.01,815.69
94.171,0,203.65,8601.19,100.00,0.00,-100.00,4,-281.65,816.62
94.171,0,203.78,8610.74,100.00,0.00,-100.00,4,-282.29,817.55
94.171,0,203.82,8617.56,100.00,0.00,-100.00,4,-282.94,818.48
94.171,0,204.03,8623.02,100.00,0.00,-100.00,4,-283.59,819.41
94.171,0,204.13,8631.20,100.00,0.00,-100.00,4,-284.23,820.34
94.171,0,204.48,8633.93,100.00,0.00,-100.00,4,-284.88,821.27
94.171,0,204.49,8643.48,100.00,0.00,-100.00,4,-285.54,822.20
94.171,0,204.87,8647.57,100.00,0.00,-100.00,4,-286.19,823.13
94.171,0,204.82,8655.76,100.00,0.00,-100.00,4,-286.85,824.06
94.171,0,205.11,8657.12,100.00,0.00,-100.00,4,-287.51,824.99
105.520,0,205.14,8669.40,100.00,0.00,-100.00,4,-288.17,825.92
105.520,0,205.43,8669.40,100.00,0.00,-100.00,4,-288.83,826.85
105.520,0,205.38,8684.40,100.00,0.00,-100.00,4,-289.49,827.78
105.520,0,205.60,8684.40,100.00,0.00,-100.00,4,-290.16,828.70
105.520,0,205.71,8698.05,100.00,0.00,-100.00,4,-290.83,829.63
